id;Serie;Intensite;FacteurA;FacteurB;FacteurC;FacteurD;FacteurE;FacteurF;FacteurG;FacteurH;FacteurI;FacteurJ;IBP_total;altitude;exposition;pente;desserte
28;0;0;5;5;0;0;0;2;5;5;0;0;22;1566.62000000000;253.41900000000;31.15690000000;147.84500000000
25;0;0;5;5;5;5;2;5;2;5;0;2;36;1480.72000000000;121.14300000000;36.37060000000;343.32100000000
26;0;0;0;2;5;5;5;5;2;5;0;5;34;1484.47000000000;73.92700000000;26.47950000000;450.06700000000
27;0;0;5;5;2;5;2;5;2;5;2;5;38;1548.91000000000;194.23500000000;20.52200000000;53.09080000000
23;0;0;2;5;5;5;5;2;2;5;0;5;36;1514.30000000000;115.00900000000;16.90350000000;583.64700000000
38;0;0;5;5;5;5;5;2;5;5;0;2;39;1557.46000000000;107.85600000000;24.81320000000;231.90000000000
39;0;0;5;5;2;2;5;5;2;5;0;2;33;1397.57000000000;129.24000000000;27.73440000000;428.06000000000
40;0;0;5;5;0;5;5;5;5;5;0;2;37;1402.34000000000;110.73200000000;37.92480000000;469.80100000000
33;0;1;5;5;5;2;2;5;5;5;0;2;36;1398.61000000000;84.31200000000;32.31330000000;2.12835000000
7;0;1;5;5;5;5;2;5;5;5;0;5;42;1436.59000000000;120.85600000000;13.71510000000;238.82500000000
8;0;1;2;5;5;5;5;5;5;5;0;2;39;1400.54000000000;131.89500000000;15.20810000000;321.64600000000
9;0;1;5;5;5;5;5;2;2;5;0;2;36;1416.82000000000;80.55010000000;25.77640000000;13.38850000000
19;0;1;5;5;2;5;2;2;2;5;0;5;33;1289.36000000000;77.61100000000;24.05200000000;600.00700000000
20;0;1;5;5;0;2;5;5;2;5;2;5;36;1396.12000000000;53.77220000000;18.00990000000;320.31000000000
22;0;1;5;5;2;5;2;2;2;5;0;5;33;1466.11000000000;159.01000000000;17.45350000000;127.26300000000
21;0;1;5;5;0;2;5;5;2;5;2;5;36;1332.04000000000;92.34190000000;21.90910000000;465.75400000000
61;0;1;5;2;5;5;2;5;5;5;0;2;36;1461.94000000000;160.63500000000;18.48660000000;87.15770000000
62;0;1;5;2;5;2;5;5;5;5;0;2;36;1460.14000000000;110.65600000000;15.10180000000;8.26628000000
64;0;1;2;0;2;2;2;5;5;5;0;2;25;1446.31000000000;139.76900000000;14.89530000000;255.02500000000
65;0;1;5;2;2;2;2;5;5;5;0;2;30;1374.55000000000;122.47300000000;37.94770000000;256.42100000000
66;0;1;5;5;2;5;5;5;5;5;0;2;39;1412.67000000000;145.09800000000;25.47100000000;290.74400000000
36;0;0.5;5;2;5;2;5;5;5;5;2;0;36;1385.39000000000;147.52700000000;14.85320000000;129.88200000000
35;0;0.5;5;5;2;5;0;5;2;5;5;0;34;1406.82000000000;95.74210000000;14.23180000000;261.27400000000
34;0;0.5;5;5;5;5;0;5;2;5;0;2;34;1477.15000000000;129.29300000000;20.72660000000;214.18800000000
10;0;0.5;5;5;5;2;5;5;5;5;0;2;39;1400.01000000000;182.38600000000;15.76570000000;114.24700000000
11;0;0.5;5;5;5;2;5;5;5;5;0;2;39;1412.78000000000;67.96450000000;15.17190000000;247.53800000000
12;0;0.5;2;5;0;5;2;2;2;5;0;5;28;1426.67000000000;138.93300000000;9.05328000000;51.24400000000
53;0;0.5;5;5;5;5;5;2;5;5;0;5;42;1410.22000000000;96.39770000000;24.14170000000;387.45200000000
54;0;0.5;5;5;5;5;5;2;5;5;0;2;39;1517.69000000000;66.07780000000;26.06940000000;389.87900000000
45;0.5;1;2;2;5;0;2;2;5;5;0;5;28;1536.83000000000;148.63200000000;42.37070000000;336.76200000000
52;0.5;1;2;2;2;0;5;5;5;5;0;2;28;1283.81000000000;96.69270000000;33.31750000000;605.47000000000
63;0.5;1;5;5;2;2;5;5;5;5;0;2;36;1295.75000000000;117.80500000000;47.02820000000;518.55100000000
42;0.5;0.5;5;5;5;2;2;2;5;5;0;2;33;1405.83000000000;34.50580000000;25.77170000000;266.39400000000
43;0.5;0.5;5;5;5;2;2;2;5;5;0;5;36;1381.11000000000;134.22900000000;31.55840000000;808.44000000000
44;0.5;0.5;5;5;5;0;2;2;5;5;0;5;34;1542.77000000000;108.02100000000;20.62160000000;501.62500000000
37;1;0;5;2;5;5;5;5;5;5;0;5;42;1650.10000000000;63.53870000000;28.76100000000;269.62400000000
57;1;0;5;5;5;5;5;2;5;5;0;2;39;1570.16000000000;222.19000000000;10.91050000000;143.44400000000
58;1;0;2;5;2;2;5;2;5;5;0;5;33;1621.28000000000;80.61290000000;6.04470000000;71.60980000000
59;1;0;2;5;5;5;5;2;5;5;0;5;39;1546.57000000000;105.06600000000;16.66820000000;50.06980000000
60;1;0;5;5;5;5;5;5;5;5;0;5;45;1557.22000000000;70.57170000000;17.70250000000;186.58500000000
6;1;0;5;2;2;5;5;0;5;5;0;5;34;1615.17000000000;210.76300000000;11.37020000000;481.42900000000
5;1;0;5;5;5;2;0;2;5;5;0;5;34;1568.94000000000;167.15200000000;9.27190000000;397.14800000000
30;1;0;2;5;5;5;5;5;2;5;0;5;39;1617.80000000000;117.92700000000;9.71342000000;14.84650000000
29;1;0;5;5;5;5;5;5;2;5;0;5;42;1584.44000000000;57.86600000000;17.14590000000;97.68790000000
24;1;0;5;5;5;5;5;5;2;5;0;5;42;1583.40000000000;105.52900000000;5.00792000000;490.11600000000
17;1;0;5;5;2;5;5;2;5;5;0;5;39;1612.43000000000;87.49450000000;15.57960000000;71.99190000000
18;1;0;2;5;2;5;5;2;5;5;0;5;36;1544.22000000000;358.88300000000;12.23670000000;16.25380000000
49;1;1;5;2;0;5;2;5;5;5;0;2;31;1527.62000000000;130.58300000000;8.06346000000;28.50140000000
50;1;1;5;5;5;5;5;5;5;5;0;5;45;1607.26000000000;151.20700000000;14.23380000000;100.25700000000
51;1;1;5;2;5;5;5;5;5;5;0;5;42;1567.93000000000;63.77410000000;23.52550000000;308.58000000000
55;1;1;5;5;0;2;5;5;2;5;0;5;34;1587.54000000000;87.51190000000;10.06650000000;52.79960000000
56;1;1;5;5;2;5;2;2;5;5;0;5;36;1579.44000000000;176.49500000000;10.35300000000;82.49710000000
2;1;1;5;5;5;5;5;2;2;5;0;5;39;1582.29000000000;120.07800000000;9.09066000000;263.58000000000
1;1;1;5;5;5;5;5;2;5;5;2;2;41;1503.77000000000;145.86400000000;9.43167000000;287.92500000000
32;1;1;5;5;5;2;5;2;2;5;0;2;33;1477.49000000000;156.85400000000;10.61400000000;13.63250000000
31;1;1;5;5;5;5;0;5;2;5;0;2;34;1494.75000000000;205.44400000000;13.73030000000;28.08390000000
41;1;0.5;5;5;5;2;5;2;5;5;0;5;39;1612.57000000000;86.44060000000;12.99800000000;411.48700000000
46;1;0.5;5;5;2;2;5;2;5;5;0;5;36;1598.48000000000;79.52560000000;6.61226000000;134.71600000000
47;1;0.5;5;5;5;5;5;2;5;5;0;5;42;1547.84000000000;154.25800000000;12.00990000000;45.57390000000
48;1;0.5;5;5;5;5;5;2;5;5;0;5;42;1645.79000000000;211.76300000000;4.97595000000;81.17240000000
3;1;0.5;5;5;2;5;0;2;5;5;0;5;34;1602.19000000000;118.02800000000;11.98720000000;425.65600000000
4;1;0.5;5;5;5;5;0;0;5;5;0;2;32;1589.10000000000;106.58200000000;15.65980000000;82.12360000000
13;1;0.5;2;5;2;5;5;2;5;5;0;5;36;1518.98000000000;32.39820000000;9.01962000000;15.67200000000
14;1;0.5;2;5;2;5;5;2;5;5;0;5;36;1543.31000000000;157.82600000000;13.94250000000;24.13930000000
15;1;0.5;5;5;5;5;5;2;5;5;0;5;42;1609.19000000000;90.06110000000;13.46320000000;75.04780000000
16;1;0.5;2;5;2;5;5;2;5;5;0;5;36;1599.44000000000;120.94100000000;9.03733000000;154.70800000000